Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.extraction,Player.ranking,Player.auxiliar,Player.aux_2_1,Player.aux_2_2,Player.aux_2_3,Player.gp_ranking,Group.id,Group.total_extraction,Group.total_payment,Group.group_loss,Subsession.id,Subsession.round_number,Subsession.rank_uno,Subsession.rank_dos,Subsession.rank_tres,Subsession.rank_p_1,Subsession.rank_p_2,Subsession.rank_p_3,Subsession.rank_p_4,Subsession.rank_p_5,Subsession.rank_p_6,Subsession.rank_p_7,Subsession.rank_p_8,Subsession.rank_p_9,Subsession.rank_p_10,Subsession.rank_p_11,Subsession.rank_p_12,Subsession.posit_1,Subsession.posit_2,Subsession.posit_3,Subsession.posit_4,Subsession.posit_5,Subsession.posit_6,Subsession.posit_7,Subsession.posit_8,Subsession.posit_9,Subsession.posit_10,Subsession.posit_11,Subsession.posit_12,Subsession.max_pay,Subsession.min_pay,Subsession.max_fund,Subsession.min_fund,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P1,ecfpkybx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.97.202.144,2016-08-23 22:27:26.942210+00:00,0,147,1,,,3,,241,8.2,3,1,147,0,1,0,1,125,5,25.8,5.2,21,1,3,1,2,1,10,2,7,12,7,6,2,10,2,5,7,147,148,149,150,151,152,153,154,155,156,157,158,8.2,3.5,15.0,10.0,mhm40ros,,,200.00000,,,,,5000.00,,1,
P10,l2rqs0sj,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.217.57,2016-08-24 20:46:58.334528+00:00,0,180,1,,,1,,346,5.0,4,8,180,1,0,0,3,172,17,21.0,1,29,4,3,1,2,3,12,11,1,10,9,6,6,3,8,1,3,171,172,173,174,175,176,177,178,179,180,181,182,6.7,3.7,6.0,3.0,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P7,1rhp1j6b,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-24 20:45:38.075821+00:00,0,177,1,,,4,,343,6.0,5,6,177,1,0,0,3,172,17,21.0,1,29,4,3,1,2,3,12,11,1,10,9,6,6,3,8,1,3,171,172,173,174,175,176,177,178,179,180,181,182,6.7,3.7,6.0,3.0,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P11,hrql9pb8,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-24 20:46:43.731186+00:00,0,181,1,,,3,,335,6.8,4,1,181,0,0,1,1,168,12,23.2,2.8,28,3,3,2,1,2,5,3,12,7,5,10,10,7,3,1,7,171,172,173,174,175,176,177,178,179,180,181,182,6.8,4.8,8.0,6.0,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P6,oe25tg14,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.73.88,2016-08-24 20:45:25.282500+00:00,0,176,1,,,1,,330,5.8,3,5,176,0,0,1,1,168,12,23.2,2.8,28,3,3,2,1,2,5,3,12,7,5,10,10,7,3,1,7,171,172,173,174,175,176,177,178,179,180,181,182,6.8,4.8,8.0,6.0,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P9,4u2jqo4r,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-24 20:47:12.196776+00:00,0,179,1,,,2,,333,5.4,3,7,179,0,1,0,2,167,13,22.6,2.4,28,3,3,2,1,2,5,3,12,7,5,10,10,7,3,1,7,171,172,173,174,175,176,177,178,179,180,181,182,6.8,4.8,8.0,6.0,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P3,43grt4kg,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.71.223.81,2016-08-24 20:46:23.786171+00:00,0,173,1,,,2,,327,6.1,4,3,173,1,0,0,3,166,14,22.4,2.1,28,3,3,2,1,2,5,3,12,7,5,10,10,7,3,1,7,171,172,173,174,175,176,177,178,179,180,181,182,6.8,4.8,8.0,6.0,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P7,1rhp1j6b,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-24 20:45:38.075821+00:00,0,177,1,,,4,,331,5.1,3,10,177,1,0,0,3,166,14,22.4,2.1,28,3,3,2,1,2,5,3,12,7,5,10,10,7,3,1,7,171,172,173,174,175,176,177,178,179,180,181,182,6.8,4.8,8.0,6.0,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P12,htt0z2f6,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.71.223.81,2016-08-24 20:46:30.408580+00:00,0,182,1,,,1,,336,5.4,3,7,182,0,1,0,2,167,13,22.6,2.4,28,3,3,2,1,2,5,3,12,7,5,10,10,7,3,1,7,171,172,173,174,175,176,177,178,179,180,181,182,6.8,4.8,8.0,6.0,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
P4,h2wasc3x,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.165.96.2,2016-08-24 20:46:35.149640+00:00,0,174,1,,,4,,328,4.8,2,12,174,0,0,1,1,168,12,23.2,2.8,28,3,3,2,1,2,5,3,12,7,5,10,10,7,3,1,7,171,172,173,174,175,176,177,178,179,180,181,182,6.8,4.8,8.0,6.0,n0dvk0rb,,,200.00000,,,,,5000.00,,1,
