Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.question,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P6,bn37x6ch,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.184.171.93,2016-08-10 19:11:18.286703+00:00,0,52,1,,,6,,18,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P3,wnucflbt,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.220.50,2016-08-10 19:12:06.431146+00:00,0,49,1,,,3,,15,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P11,r2x1bb66,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.178.66,2016-08-10 19:08:07.145072+00:00,0,57,1,,,11,,23,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P1,3uwqxd0w,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.236.24.103,2016-08-10 19:12:40.077571+00:00,0,47,1,,,1,,13,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P4,k8h3ku3s,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.158.172.100,2016-08-10 19:11:44.113889+00:00,0,50,1,,,4,,16,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P2,pvu0swb2,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.50.142,2016-08-10 19:12:19.402074+00:00,0,48,1,,,2,,14,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P8,ctxijm5h,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.191.118,2016-08-10 19:09:46.103158+00:00,0,54,1,,,8,,20,,3.0,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P10,1rjnh1o0,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.186.213.164,2016-08-10 19:08:47.933151+00:00,0,56,1,,,10,,22,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P5,984cv8rr,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.79.185.47,2016-08-10 19:11:32.125463+00:00,0,51,1,,,5,,17,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P7,nvddjmq8,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.79.185.47,2016-08-10 19:11:07.714442+00:00,0,53,1,,,7,,19,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P9,kgtg9egd,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.97.202.144,2016-08-10 19:09:17.584794+00:00,0,55,1,,,9,,21,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
P12,kb9fx3mt,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.223.235,2016-08-10 19:07:25.428270+00:00,0,58,1,,,12,,24,,6.5,2,2,1,v9ts4npb,,,200.00000,,,,,5000.00,,1,
