Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.extraction,Player.ranking,Player.auxiliar,Player.aux_2_1,Player.aux_2_2,Player.aux_2_3,Player.gp_ranking,Group.id,Group.total_extraction,Group.total_payment,Group.group_loss,Subsession.id,Subsession.round_number,Subsession.rank_uno,Subsession.rank_dos,Subsession.rank_tres,Subsession.rank_p_1,Subsession.rank_p_2,Subsession.rank_p_3,Subsession.rank_p_4,Subsession.rank_p_5,Subsession.rank_p_6,Subsession.rank_p_7,Subsession.rank_p_8,Subsession.rank_p_9,Subsession.rank_p_10,Subsession.rank_p_11,Subsession.rank_p_12,Subsession.posit_1,Subsession.posit_2,Subsession.posit_3,Subsession.posit_4,Subsession.posit_5,Subsession.posit_6,Subsession.posit_7,Subsession.posit_8,Subsession.posit_9,Subsession.posit_10,Subsession.posit_11,Subsession.posit_12,Subsession.max_pay,Subsession.min_pay,Subsession.max_fund,Subsession.min_fund,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P2,pcf7gm29,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.186.213.164,2016-08-09 22:10:35.221718+00:00,0,36,1,,,3,,2,5.1,2,8,36,0,1,0,1,5,11,23.4,3.1,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P12,aavgcaym,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.167.27,2016-08-09 22:04:48.957997+00:00,0,46,1,,,2,,12,8.1,5,1,46,0,1,0,1,5,11,23.4,3.1,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P10,0rblqk8z,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-09 22:05:09.983129+00:00,0,44,1,,,1,,10,5.7,5,5,44,0,0,1,3,6,18,20.8,0.7,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P9,6rza2p22,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-09 22:05:46.014145+00:00,0,43,1,,,3,,9,5.7,5,5,43,0,0,1,3,6,18,20.8,0.7,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P5,ui2o6507,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.5.200.32,2016-08-09 22:04:59.226294+00:00,0,39,1,,,4,,5,3.7,3,12,39,0,0,1,3,6,18,20.8,0.7,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P7,6ka3vdrx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.158.172.100,2016-08-09 22:06:15.709595+00:00,0,41,1,,,2,,7,5.7,5,5,41,0,0,1,3,6,18,20.8,0.7,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P11,52oux9ov,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.193.29,2016-08-09 22:04:58.893949+00:00,0,45,1,,,4,,11,6.1,3,4,45,0,1,0,1,5,11,23.4,3.1,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P6,xz57rkvf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.81.228.101,2016-08-09 22:04:25.655661+00:00,0,40,1,,,1,,6,4.4,3,9,40,1,0,0,2,4,16,21.6,1.4,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P1,39l6xjub,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.61.152.141,2016-08-09 22:06:54.257638+00:00,0,35,1,,,4,,1,4.4,3,9,35,1,0,0,2,4,16,21.6,1.4,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P8,3w4yh997,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.217.57,2016-08-09 22:06:06.530302+00:00,0,42,1,,,2,,8,6.4,5,2,42,1,0,0,2,4,16,21.6,1.4,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
