Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.question,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P12,p7w5tvwx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.165.96.2,2016-08-09 19:14:35.804216+00:00,0,26,1,,,12,,12,,6.5,1,1,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P2,037yer7b,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.158.172.100,2016-08-16 22:21:00.068518+00:00,0,60,1,,,2,,34,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P10,zsd957pj,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.165.96.2,2016-08-16 22:17:29.922747+00:00,0,68,1,,,10,,42,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P18,2q7k3g9x,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.17.197,2016-08-16 22:12:58.017202+00:00,0,76,1,,,18,,50,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P2,pcf7gm29,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.186.213.164,2016-08-09 22:10:35.221718+00:00,0,36,1,,,2,,22,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P8,3w4yh997,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.217.57,2016-08-09 22:06:06.530302+00:00,0,42,1,,,8,,28,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P4,gjn6gq0v,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.178.66,2016-08-09 22:05:30.571238+00:00,0,38,1,,,4,,24,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P20,q8z2u78y,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.55.197,2016-08-09 19:14:57.038397+00:00,0,34,1,,,20,,20,,6.5,1,1,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P8,l9chuk3h,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-09 19:12:51.335767+00:00,0,22,1,,,8,,8,,6.5,1,1,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P9,1p4mbvk0,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.149.116.169,2016-08-09 19:13:33.414855+00:00,0,23,1,,,9,,9,,6.5,1,1,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
