Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.extraction,Player.partial_pay,Player.ranking,Player.auxiliar,Player.aux_2_1,Player.aux_2_2,Player.aux_2_3,Player.gp_ranking,Group.id,Group.total_extraction,Group.total_payment,Group.group_loss,Subsession.id,Subsession.round_number,Subsession.multi_uno,Subsession.multi_dos,Subsession.multi_tres,Subsession.rank_uno,Subsession.rank_dos,Subsession.rank_tres,Subsession.rank_p_1,Subsession.rank_p_2,Subsession.rank_p_3,Subsession.rank_p_4,Subsession.rank_p_5,Subsession.rank_p_6,Subsession.rank_p_7,Subsession.rank_p_8,Subsession.rank_p_9,Subsession.rank_p_10,Subsession.rank_p_11,Subsession.rank_p_12,Subsession.posit_1,Subsession.posit_2,Subsession.posit_3,Subsession.posit_4,Subsession.posit_5,Subsession.posit_6,Subsession.posit_7,Subsession.posit_8,Subsession.posit_9,Subsession.posit_10,Subsession.posit_11,Subsession.posit_12,Subsession.max_pay,Subsession.min_pay,Subsession.max_fund,Subsession.min_fund,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P4,3k9j4xgn,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.138.145.240,2016-08-22 22:29:08.183207+00:00,0,118,1,,,1,,244,3.7,2,4.1,12,118,0,0,1,3,126,14,22.4,2.1,21,1,1.10,1,0.90,1,2,3,11,2,7,12,1,3,7,6,9,10,3,3,115,116,117,118,119,120,121,122,123,124,125,126,8.6,3.7,8.0,6.0,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P10,ydsge81s,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.33.196.195,2016-08-22 22:30:33.853887+00:00,0,124,1,,,2,,250,4.4,2,4.4,10,124,0,1,0,2,125,13,22.6,2.4,21,1,1.10,1,0.90,1,2,3,11,2,7,12,1,3,7,6,9,10,3,3,115,116,117,118,119,120,121,122,123,124,125,126,8.6,3.7,8.0,6.0,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P7,9ztf0gck,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.167.27,2016-08-24 19:26:18.989753+00:00,0,165,1,,,3,,367,4.2,2,4.4,10,165,1,0,0,2,184,13,22.6,2.4,31,1,0.95,0.95,1.10,2,2,1,3,7,12,3,3,7,10,10,6,9,1,2,159,160,161,162,163,164,165,166,167,168,169,170,9.0,3.2,12.0,7.0,0fpbzs3z,,,200.00000,,,,,5000.00,,1,
P9,frno2noq,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-22 22:30:18.753979+00:00,0,123,1,,,3,,249,4.6,3,5.1,9,123,0,0,1,3,126,14,22.4,2.1,21,1,1.10,1,0.90,1,2,3,11,2,7,12,1,3,7,6,9,10,3,3,115,116,117,118,119,120,121,122,123,124,125,126,8.6,3.7,8.0,6.0,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P8,mihn323q,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.63.227.88,2016-08-22 17:38:31.594973+00:00,0,98,1,,,2,,128,4.8,2,5.1,10,98,0,0,1,2,66,11,23.4,3.1,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P5,ee6dngxr,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-22 17:39:05.178238+00:00,0,95,1,,,3,,125,7.7,5,8.1,2,95,0,0,1,2,66,11,23.4,3.1,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P3,l739scml,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.65.93.238,2016-08-22 17:39:16.840737+00:00,0,93,1,,,1,,123,3.9,1,4.1,11,93,0,0,1,2,66,11,23.4,3.1,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P4,ngpbmulp,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.95.237.20,2016-08-22 17:39:17.156757+00:00,0,94,1,,,4,,124,8.7,3,7.9,1,94,1,0,0,1,64,6,25.6,4.9,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P12,0a2wbu80,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.102.236.103,2016-08-22 17:37:41.508841+00:00,0,102,1,,,3,,132,7.6,2,6.9,3,102,1,0,0,1,64,6,25.6,4.9,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P1,tpmnllyw,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.185.250,2016-08-22 17:38:34.927355+00:00,0,91,1,,,2,,121,6.5,1,5.9,6,91,1,0,0,1,64,6,25.6,4.9,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
