Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.extraction,Player.partial_pay,Player.ranking,Player.auxiliar,Player.aux_2_1,Player.aux_2_2,Player.aux_2_3,Player.aux_2_4,Player.aux_2_5,Player.gp_ranking,Group.id,Group.total_extraction,Group.total_payment,Group.group_loss,Subsession.id,Subsession.round_number,Subsession.multi_uno,Subsession.multi_dos,Subsession.multi_tres,Subsession.multi_cuatro,Subsession.multi_cinco,Subsession.rank_uno,Subsession.rank_dos,Subsession.rank_tres,Subsession.rank_cuatro,Subsession.rank_cinco,Subsession.rank_p_1,Subsession.rank_p_2,Subsession.rank_p_3,Subsession.rank_p_4,Subsession.rank_p_5,Subsession.rank_p_6,Subsession.rank_p_7,Subsession.rank_p_8,Subsession.rank_p_9,Subsession.rank_p_10,Subsession.rank_p_11,Subsession.rank_p_12,Subsession.rank_p_13,Subsession.rank_p_14,Subsession.rank_p_15,Subsession.rank_p_16,Subsession.rank_p_17,Subsession.rank_p_18,Subsession.rank_p_19,Subsession.rank_p_20,Subsession.posit_1,Subsession.posit_2,Subsession.posit_3,Subsession.posit_4,Subsession.posit_5,Subsession.posit_6,Subsession.posit_7,Subsession.posit_8,Subsession.posit_9,Subsession.posit_10,Subsession.posit_11,Subsession.posit_12,Subsession.posit_13,Subsession.posit_14,Subsession.posit_15,Subsession.posit_16,Subsession.posit_17,Subsession.posit_18,Subsession.posit_19,Subsession.posit_20,Subsession.max_pay,Subsession.min_pay,Subsession.max_fund,Subsession.min_fund,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P16,dgk8ziez,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.61.152.141,2016-08-23 20:42:47.144547+00:00,0,142,1,,,1,,416,8.5,5,8.5,2,142,0,0,0,0,1,3,210,10,24.0,3.5,21,1,0.90,1.05,0.95,1.10,1,5,2,4,1,3,11,16,5,8,6,18,8,6,11,18,17,4,11,2,14,2,20,15,1,8,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,9.8,1.5,17.0,5.0,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P14,x6hjqwpu,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.97.206.141,2016-08-23 20:44:05.709212+00:00,0,140,1,,,2,,414,8.5,5,8.5,2,140,0,0,0,0,1,3,210,10,24.0,3.5,21,1,0.90,1.05,0.95,1.10,1,5,2,4,1,3,11,16,5,8,6,18,8,6,11,18,17,4,11,2,14,2,20,15,1,8,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,9.8,1.5,17.0,5.0,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P12,d1587s7v,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-23 20:45:05.646365+00:00,0,138,1,,,4,,412,7.9,3,7.5,4,138,0,1,0,0,0,2,207,7,25.0,4.5,21,1,0.90,1.05,0.95,1.10,1,5,2,4,1,3,11,16,5,8,6,18,8,6,11,18,17,4,11,2,14,2,20,15,1,8,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,9.8,1.5,17.0,5.0,gpvxa2h2,,,200.00000,,,,,5000.00,,1,
P12,p7w5tvwx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.165.96.2,2016-08-09 19:14:35.804216+00:00,0,26,1,,,4,,12,7.0,2,6.5,5,26,0,1,0,0,0,1,7,7,25.0,4.5,1,1,0.90,1.08,1.08,1,0.95,5,1,1,3,4,11,3,11,7,6,11,9,9,11,11,11,5,1,19,1,4,18,8,19,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.1,3.9,13.0,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P20,q8z2u78y,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.55.197,2016-08-09 19:14:57.038397+00:00,0,34,1,,,2,,20,4.8,5,5.3,11,34,1,0,0,0,0,5,6,19,20.2,0.3,1,1,0.90,1.08,1.08,1,0.95,5,1,1,3,4,11,3,11,7,6,11,9,9,11,11,11,5,1,19,1,4,18,8,19,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.1,3.9,13.0,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P14,pak8rqgt,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.211.163,2016-08-09 19:16:30.402393+00:00,0,28,1,,,1,,14,3.9,4,4.3,19,28,1,0,0,0,0,5,6,19,20.2,0.3,1,1,0.90,1.08,1.08,1,0.95,5,1,1,3,4,11,3,11,7,6,11,9,9,11,11,11,5,1,19,1,4,18,8,19,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.1,3.9,13.0,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P13,dj3geo8v,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.198.97,2016-08-09 19:21:40.050152+00:00,0,27,1,,,1,,13,9.1,4,8.5,1,27,0,1,0,0,0,1,7,7,25.0,4.5,1,1,0.90,1.08,1.08,1,0.95,5,1,1,3,4,11,3,11,7,6,11,9,9,11,11,11,5,1,19,1,4,18,8,19,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.1,3.9,13.0,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P1,6fi813ri,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.148.0.210,2016-08-09 19:08:06.012539+00:00,0,15,1,,,3,,1,4.8,5,5.3,11,15,1,0,0,0,0,5,6,19,20.2,0.3,1,1,0.90,1.08,1.08,1,0.95,5,1,1,3,4,11,3,11,7,6,11,9,9,11,11,11,5,1,19,1,4,18,8,19,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.1,3.9,13.0,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P4,40fnlxfi,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.191.99,2016-08-09 19:10:44.601777+00:00,0,18,1,,,2,,4,5.9,1,5.5,7,18,0,1,0,0,0,1,7,7,25.0,4.5,1,1,0.90,1.08,1.08,1,0.95,5,1,1,3,4,11,3,11,7,6,11,9,9,11,11,11,5,1,19,1,4,18,8,19,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.1,3.9,13.0,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P9,1p4mbvk0,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.149.116.169,2016-08-09 19:13:33.414855+00:00,0,23,1,,,4,,9,4.8,5,5.3,11,23,1,0,0,0,0,5,6,19,20.2,0.3,1,1,0.90,1.08,1.08,1,0.95,5,1,1,3,4,11,3,11,7,6,11,9,9,11,11,11,5,1,19,1,4,18,8,19,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.1,3.9,13.0,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P10,k817s3qe,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-09 19:13:42.400206+00:00,0,24,1,,,3,,10,4.8,0,4.5,11,24,0,1,0,0,0,1,7,7,25.0,4.5,1,1,0.90,1.08,1.08,1,0.95,5,1,1,3,4,11,3,11,7,6,11,9,9,11,11,11,5,1,19,1,4,18,8,19,11,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.1,3.9,13.0,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P11,crz4fq8h,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-16 22:17:03.787727+00:00,0,69,1,,,2,,211,6.5,0,5.9,10,69,0,0,1,0,0,1,108,3,26.6,5.9,11,1,1,0.95,1.10,0.90,1.05,3,4,1,5,2,13,1,4,6,17,15,19,17,14,3,10,5,19,10,8,2,6,12,15,8,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,8.7,3.1,17.0,7.0,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P14,46dd8ux0,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.152.216,2016-08-16 22:15:08.578762+00:00,0,72,1,,,1,,214,6.5,0,5.9,10,72,0,0,1,0,0,1,108,3,26.6,5.9,11,1,1,0.95,1.10,0.90,1.05,3,4,1,5,2,13,1,4,6,17,15,19,17,14,3,10,5,19,10,8,2,6,12,15,8,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,8.7,3.1,17.0,7.0,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P18,2q7k3g9x,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.17.197,2016-08-16 22:12:58.017202+00:00,0,76,1,,,2,,218,6.1,2,5.8,12,76,0,0,0,0,1,2,110,9,24.2,3.8,11,1,1,0.95,1.10,0.90,1.05,3,4,1,5,2,13,1,4,6,17,15,19,17,14,3,10,5,19,10,8,2,6,12,15,8,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,8.7,3.1,17.0,7.0,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P5,hpex9zmb,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-16 22:19:42.897996+00:00,0,63,1,,,1,,205,4.0,2,4.4,17,63,0,0,0,1,0,5,109,13,22.6,2.4,11,1,1,0.95,1.10,0.90,1.05,3,4,1,5,2,13,1,4,6,17,15,19,17,14,3,10,5,19,10,8,2,6,12,15,8,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,8.7,3.1,17.0,7.0,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P12,de415sya,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.220.50,2016-08-16 22:16:53.590970+00:00,0,70,1,,,4,,212,7.4,5,7.8,5,70,0,1,0,0,0,4,107,12,23.2,2.8,11,1,1,0.95,1.10,0.90,1.05,3,4,1,5,2,13,1,4,6,17,15,19,17,14,3,10,5,19,10,8,2,6,12,15,8,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,8.7,3.1,17.0,7.0,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P17,qkte6tvp,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.164.188.200,2016-08-16 22:13:24.402613+00:00,0,75,1,,,3,,217,7.1,4,7.1,6,75,1,0,0,0,0,3,106,11,23.4,3.1,11,1,1,0.95,1.10,0.90,1.05,3,4,1,5,2,13,1,4,6,17,15,19,17,14,3,10,5,19,10,8,2,6,12,15,8,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,8.7,3.1,17.0,7.0,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P8,04i0e3tc,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.164.188.200,2016-08-16 22:18:28.801257+00:00,0,66,1,,,4,,208,4.0,0,3.8,17,66,0,0,0,0,1,2,110,9,24.2,3.8,11,1,1,0.95,1.10,0.90,1.05,3,4,1,5,2,13,1,4,6,17,15,19,17,14,3,10,5,19,10,8,2,6,12,15,8,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,8.7,3.1,17.0,7.0,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P2,u822nmmr,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.165.96.2,2016-08-09 19:09:09.440803+00:00,0,16,1,,,3,,22,7.4,2,6.9,4,16,0,0,1,0,0,1,18,6,25.6,4.9,2,2,0.90,1.08,1.08,1,0.95,5,1,1,3,4,17,4,11,6,13,6,13,20,13,11,17,6,1,17,2,3,9,5,13,10,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.6,4.1,14.0,5.0,uopnajrp,,,200.00000,,,,,5000.00,,1,
P4,40fnlxfi,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.191.99,2016-08-09 19:10:44.601777+00:00,0,18,1,,,2,,24,6.3,1,5.9,6,18,0,1,0,0,0,1,17,6,25.6,4.9,2,2,0.90,1.08,1.08,1,0.95,5,1,1,3,4,17,4,11,6,13,6,13,20,13,11,17,6,1,17,2,3,9,5,13,10,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.6,4.1,14.0,5.0,uopnajrp,,,200.00000,,,,,5000.00,,1,
P15,byiczgs6,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.187.91.49,2016-08-09 19:16:08.751210+00:00,0,29,1,,,4,,35,8.5,3,7.9,2,29,0,0,1,0,0,1,18,6,25.6,4.9,2,2,0.90,1.08,1.08,1,0.95,5,1,1,3,4,17,4,11,6,13,6,13,20,13,11,17,6,1,17,2,3,9,5,13,10,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,9.6,4.1,14.0,5.0,uopnajrp,,,200.00000,,,,,5000.00,,1,
