Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.q_age,Player.q_gender,Player.q_estrato,Player.q_game_part,Player.q_part_time,Player.q_graduated,Player.q_career_1,Player.q_career_2,Player.q_postgraduate,Player.q_master_1,Player.q_master_2,Player.p_risk,Player.p_compet_1,Player.p_compet_2,Player.p_compet_3,Player.p_compet_4,Player.p_compet_5,Player.p_compet_6,Player.g_pref_stage,Player.g_pref_rk_1,Player.g_pref_rk_2,Player.g_pref_rk_3,Player.p_trust_1,Player.p_trust_2,Player.p_trust_3,Player.p_trust_4,Player.p_trust_5,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P10,k817s3qe,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-09 19:13:42.400206+00:00,0,24,1,,,10,,22,0,24,Hombre,4,NO,0,NO,Ingeniería Industria,Ingeniería Civil,NO,ninguna,ninguna,8,2,3,1,4,2,2,2,3,3,1,1,2,1,4,4,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P19,uxytcixx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-09 19:15:07.581414+00:00,0,33,1,,,19,,31,0,18,Mujer,4,NO,0,NO,Ing. industrial,ninguna,SI,ninguna,ninguna,6,2,1,2,4,4,2,2,3,2,3,2,2,3,3,2,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P6,n1vlnuiu,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.17.197,2016-08-09 19:12:01.040159+00:00,0,20,1,,,6,,18,0,21,Mujer,3,NO,0,NO,Derecho,Ninguna,NO,Ninguna,Ninguna,3,3,2,1,3,3,2,2,1,2,1,2,2,2,3,2,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P1,lqqbbi2s,,117/121 pages,MLG_survey,1,Game,Playing,10.137.144.23,2016-08-05 19:26:48.914710+00:00,0,3,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P2,vtw9ck50,,116/121 pages,CPR_Game_T3,5,Results,Playing,10.93.189.130,2016-08-05 19:26:12.449298+00:00,0,4,1,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P3,2yf78q4y,,116/121 pages,CPR_Game_T3,5,Results,Playing,10.170.185.250,2016-08-05 19:25:03.478904+00:00,0,5,1,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P4,1wbfrb26,,116/121 pages,CPR_Game_T3,5,Results,Playing,10.97.206.141,2016-08-05 19:24:23.264551+00:00,0,6,1,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P5,r2vr4xyc,,116/121 pages,CPR_Game_T3,5,Results,Playing,10.170.183.27,2016-08-05 19:23:37.579263+00:00,0,7,1,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P3,pchuulj8,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.63.227.88,2016-08-09 19:09:46.149641+00:00,0,17,1,,,3,,15,0,18,Hombre,4,NO,0,NO,ingenieria industria,ninguna,NO,ninguna,ninguna,7,3,3,4,3,2,2,2,1,2,3,2,2,3,3,2,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P12,fil8e0ov,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.214.166,2016-08-05 19:13:23.066359+00:00,0,14,1,,,12,,12,0,14,Hombre,3,SI,2,SI,222,2,SI,2,2,2,1,1,2,3,4,3,2,1,3,2,3,2,2,3,2,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
